generation,fe,point_id,makespan,energy
0,100,1,102.0,6206.0
0,100,2,105.0,6111.0
0,100,3,117.0,6042.0
1,200,1,102.0,6206.0
1,200,2,105.0,6111.0
1,200,3,113.0,6048.0
1,200,4,117.0,6042.0
2,300,1,93.0,6024.0
2,300,2,100.0,5986.0
3,400,1,85.0,5937.0
4,500,1,85.0,5937.0
5,600,1,85.0,5937.0
5,600,2,91.0,5881.0
5,600,3,107.0,5852.0
6,700,1,85.0,5937.0
6,700,2,91.0,5881.0
6,700,3,94.0,5871.0
6,700,4,107.0,5852.0
6,700,5,125.0,5817.0
7,800,1,85.0,5937.0
7,800,2,91.0,5881.0
7,800,3,94.0,5871.0
7,800,4,104.0,5800.0
8,900,1,85.0,5937.0
8,900,2,88.0,5919.0
8,900,3,91.0,5881.0
8,900,4,92.0,5880.0
8,900,5,94.0,5871.0
8,900,6,98.0,5815.0
8,900,7,102.0,5741.0
9,1000,1,78.0,5918.0
9,1000,2,83.0,5902.0
9,1000,3,85.0,5829.0
9,1000,4,86.0,5743.0
9,1000,5,91.0,5721.0
10,1100,1,78.0,5918.0
10,1100,2,81.0,5718.0
11,1200,1,78.0,5918.0
11,1200,2,79.0,5843.0
11,1200,3,81.0,5718.0
12,1300,1,78.0,5918.0
12,1300,2,79.0,5843.0
12,1300,3,81.0,5699.0
13,1400,1,78.0,5918.0
13,1400,2,79.0,5843.0
13,1400,3,81.0,5699.0
14,1500,1,78.0,5918.0
14,1500,2,79.0,5834.0
14,1500,3,81.0,5699.0
15,1600,1,78.0,5918.0
15,1600,2,79.0,5834.0
15,1600,3,81.0,5697.0
16,1700,1,78.0,5917.0
16,1700,2,79.0,5834.0
16,1700,3,81.0,5697.0
17,1800,1,78.0,5859.0
17,1800,2,79.0,5796.0
17,1800,3,81.0,5697.0
18,1900,1,78.0,5859.0
18,1900,2,79.0,5796.0
18,1900,3,81.0,5695.0
19,2000,1,78.0,5859.0
19,2000,2,79.0,5796.0
19,2000,3,81.0,5693.0
20,2100,1,74.0,5903.0
20,2100,2,78.0,5859.0
20,2100,3,79.0,5783.0
20,2100,4,81.0,5693.0
21,2200,1,74.0,5903.0
21,2200,2,76.0,5800.0
21,2200,3,79.0,5716.0
21,2200,4,81.0,5693.0
22,2300,1,74.0,5903.0
22,2300,2,76.0,5800.0
22,2300,3,79.0,5716.0
22,2300,4,81.0,5691.0
23,2400,1,74.0,5903.0
23,2400,2,76.0,5800.0
23,2400,3,79.0,5682.0
24,2500,1,74.0,5903.0
24,2500,2,76.0,5800.0
24,2500,3,79.0,5682.0
25,2600,1,74.0,5903.0
25,2600,2,76.0,5800.0
25,2600,3,79.0,5682.0
26,2700,1,74.0,5903.0
26,2700,2,76.0,5800.0
26,2700,3,79.0,5682.0
27,2800,1,74.0,5903.0
27,2800,2,76.0,5800.0
27,2800,3,77.0,5745.0
27,2800,4,79.0,5682.0
28,2900,1,74.0,5903.0
28,2900,2,76.0,5800.0
28,2900,3,77.0,5745.0
28,2900,4,79.0,5682.0
29,3000,1,74.0,5903.0
29,3000,2,76.0,5800.0
29,3000,3,77.0,5745.0
29,3000,4,79.0,5682.0
30,3100,1,74.0,5903.0
30,3100,2,76.0,5800.0
30,3100,3,77.0,5745.0
30,3100,4,79.0,5682.0
31,3200,1,74.0,5903.0
31,3200,2,75.0,5709.0
31,3200,3,79.0,5682.0
32,3300,1,74.0,5807.0
32,3300,2,75.0,5709.0
32,3300,3,79.0,5682.0
33,3400,1,74.0,5807.0
33,3400,2,75.0,5709.0
33,3400,3,79.0,5682.0
34,3500,1,74.0,5807.0
34,3500,2,75.0,5709.0
34,3500,3,79.0,5682.0
35,3600,1,74.0,5807.0
35,3600,2,75.0,5709.0
35,3600,3,79.0,5682.0
36,3700,1,74.0,5807.0
36,3700,2,75.0,5709.0
36,3700,3,79.0,5682.0
37,3800,1,74.0,5807.0
37,3800,2,75.0,5709.0
37,3800,3,79.0,5682.0
38,3900,1,74.0,5807.0
38,3900,2,75.0,5709.0
38,3900,3,79.0,5682.0
39,4000,1,74.0,5807.0
39,4000,2,75.0,5709.0
39,4000,3,79.0,5682.0
40,4100,1,74.0,5807.0
40,4100,2,75.0,5709.0
40,4100,3,79.0,5682.0
41,4200,1,74.0,5807.0
41,4200,2,75.0,5709.0
41,4200,3,79.0,5682.0
42,4300,1,74.0,5807.0
42,4300,2,75.0,5709.0
42,4300,3,79.0,5682.0
43,4400,1,74.0,5807.0
43,4400,2,75.0,5709.0
43,4400,3,79.0,5682.0
44,4500,1,74.0,5807.0
44,4500,2,75.0,5709.0
44,4500,3,79.0,5682.0
45,4600,1,74.0,5807.0
45,4600,2,75.0,5709.0
45,4600,3,79.0,5682.0
46,4700,1,74.0,5807.0
46,4700,2,75.0,5673.0
47,4800,1,74.0,5807.0
47,4800,2,75.0,5673.0
48,4900,1,74.0,5807.0
48,4900,2,75.0,5673.0
49,5000,1,74.0,5807.0
49,5000,2,75.0,5673.0
50,5100,1,74.0,5807.0
50,5100,2,75.0,5673.0
51,5200,1,74.0,5807.0
51,5200,2,75.0,5673.0
52,5300,1,74.0,5807.0
52,5300,2,75.0,5673.0
53,5400,1,74.0,5807.0
53,5400,2,75.0,5673.0
54,5500,1,74.0,5807.0
54,5500,2,75.0,5673.0
55,5600,1,74.0,5807.0
55,5600,2,75.0,5673.0
56,5700,1,74.0,5807.0
56,5700,2,75.0,5673.0
57,5800,1,74.0,5748.0
57,5800,2,75.0,5673.0
58,5900,1,74.0,5748.0
58,5900,2,75.0,5673.0
59,6000,1,74.0,5748.0
59,6000,2,75.0,5673.0
60,6100,1,74.0,5748.0
60,6100,2,75.0,5673.0
61,6200,1,74.0,5748.0
61,6200,2,75.0,5673.0
62,6300,1,74.0,5748.0
62,6300,2,75.0,5673.0
63,6400,1,74.0,5748.0
63,6400,2,75.0,5673.0
64,6500,1,74.0,5748.0
64,6500,2,75.0,5673.0
65,6600,1,74.0,5748.0
65,6600,2,75.0,5673.0
66,6700,1,74.0,5748.0
66,6700,2,75.0,5673.0
66,6700,3,76.0,5671.0
67,6800,1,74.0,5748.0
67,6800,2,75.0,5673.0
67,6800,3,76.0,5671.0
68,6900,1,74.0,5748.0
68,6900,2,75.0,5673.0
68,6900,3,76.0,5671.0
69,7000,1,74.0,5748.0
69,7000,2,75.0,5673.0
69,7000,3,76.0,5671.0
70,7100,1,74.0,5748.0
70,7100,2,75.0,5673.0
70,7100,3,76.0,5671.0
71,7200,1,74.0,5748.0
71,7200,2,75.0,5673.0
71,7200,3,76.0,5671.0
72,7300,1,74.0,5748.0
72,7300,2,75.0,5673.0
72,7300,3,76.0,5671.0
73,7400,1,74.0,5748.0
73,7400,2,75.0,5673.0
73,7400,3,76.0,5671.0
74,7500,1,74.0,5748.0
74,7500,2,75.0,5673.0
74,7500,3,76.0,5671.0
75,7600,1,74.0,5748.0
75,7600,2,75.0,5673.0
75,7600,3,76.0,5671.0
76,7700,1,74.0,5748.0
76,7700,2,75.0,5673.0
76,7700,3,76.0,5671.0
77,7800,1,74.0,5748.0
77,7800,2,75.0,5673.0
77,7800,3,76.0,5671.0
78,7900,1,74.0,5748.0
78,7900,2,75.0,5673.0
78,7900,3,76.0,5671.0
79,8000,1,74.0,5748.0
79,8000,2,75.0,5673.0
79,8000,3,76.0,5671.0
80,8100,1,74.0,5748.0
80,8100,2,75.0,5673.0
80,8100,3,76.0,5671.0
81,8200,1,74.0,5748.0
81,8200,2,75.0,5673.0
81,8200,3,76.0,5671.0
82,8300,1,74.0,5748.0
82,8300,2,75.0,5673.0
82,8300,3,76.0,5671.0
83,8400,1,74.0,5748.0
83,8400,2,75.0,5673.0
83,8400,3,76.0,5671.0
84,8500,1,74.0,5748.0
84,8500,2,75.0,5673.0
84,8500,3,76.0,5671.0
85,8600,1,74.0,5748.0
85,8600,2,75.0,5673.0
85,8600,3,76.0,5671.0
86,8700,1,74.0,5742.0
86,8700,2,75.0,5673.0
86,8700,3,76.0,5671.0
87,8800,1,74.0,5742.0
87,8800,2,75.0,5673.0
87,8800,3,76.0,5671.0
88,8900,1,74.0,5742.0
88,8900,2,75.0,5673.0
88,8900,3,76.0,5671.0
89,9000,1,74.0,5742.0
89,9000,2,75.0,5673.0
89,9000,3,76.0,5671.0
90,9100,1,74.0,5742.0
90,9100,2,75.0,5673.0
90,9100,3,76.0,5671.0
91,9200,1,74.0,5742.0
91,9200,2,75.0,5673.0
91,9200,3,76.0,5671.0
92,9300,1,74.0,5742.0
92,9300,2,75.0,5673.0
92,9300,3,76.0,5671.0
93,9400,1,74.0,5742.0
93,9400,2,75.0,5673.0
93,9400,3,76.0,5671.0
94,9500,1,74.0,5742.0
94,9500,2,75.0,5673.0
94,9500,3,76.0,5671.0
95,9600,1,74.0,5742.0
95,9600,2,75.0,5673.0
95,9600,3,76.0,5671.0
96,9700,1,74.0,5742.0
96,9700,2,75.0,5673.0
96,9700,3,76.0,5671.0
97,9800,1,74.0,5742.0
97,9800,2,75.0,5673.0
97,9800,3,76.0,5671.0
98,9900,1,74.0,5742.0
98,9900,2,75.0,5673.0
98,9900,3,76.0,5671.0
99,10000,1,74.0,5742.0
99,10000,2,75.0,5673.0
99,10000,3,76.0,5671.0
