run_id,makespan,energy
1,157.0,8652.0
1,158.0,8631.5
1,159.0,8608.0
1,161.0,8593.5
1,167.0,8539.0
2,171.0,8749.5
2,177.0,8735.5
3,159.0,8808.5
3,163.0,8787.5
3,164.0,8717.5
3,170.0,8700.0
4,161.0,8761.5
4,163.0,8748.5
4,165.0,8724.0
4,167.0,8709.5
5,155.0,8695.5
5,159.0,8579.0
6,178.0,8692.5
6,180.0,8648.5
7,166.0,8930.0
7,171.0,8791.0
7,172.0,8758.5
7,176.0,8718.5
7,179.0,8702.5
7,181.0,8656.5
8,163.0,8714.5
8,169.0,8705.5
9,175.0,8873.5
9,177.0,8801.0
9,182.0,8775.0
9,188.0,8758.0
10,175.0,8998.0
10,177.0,8973.0
10,178.0,8939.5
10,180.0,8914.5
10,183.0,8888.5
10,187.0,8887.0
10,188.0,8864.0
