generation,fe,point_id,makespan,energy
0,50,1,311.0,10738.0
0,50,2,326.0,10603.5
0,50,3,343.0,10506.5
1,180,1,301.0,11069.5
1,180,2,311.0,10738.0
1,180,3,317.0,10367.5
2,310,1,301.0,11069.5
2,310,2,305.0,10760.0
2,310,3,309.0,10261.0
3,440,1,279.0,10234.0
3,440,2,296.0,10201.5
4,570,1,253.0,10216.0
4,570,2,273.0,10107.0
4,570,3,278.0,10045.0
4,570,4,289.0,9847.5
5,700,1,253.0,10216.0
5,700,2,255.0,10078.0
5,700,3,268.0,10015.5
5,700,4,276.0,9762.0
5,700,5,280.0,9728.0
6,830,1,253.0,10182.5
6,830,2,255.0,10052.5
6,830,3,256.0,9640.0
7,960,1,235.0,9963.0
7,960,2,256.0,9640.0
7,960,3,270.0,9548.5
8,1090,1,235.0,9963.0
8,1090,2,253.0,9905.5
8,1090,3,255.0,9634.5
8,1090,4,270.0,9548.5
9,1220,1,235.0,9963.0
9,1220,2,253.0,9905.5
9,1220,3,255.0,9634.5
9,1220,4,260.0,9577.0
9,1220,5,262.0,9539.0
10,1350,1,235.0,9963.0
10,1350,2,248.0,9497.5
11,1480,1,235.0,9963.0
11,1480,2,248.0,9497.5
12,1610,1,235.0,9963.0
12,1610,2,238.0,9939.5
12,1610,3,244.0,9567.5
12,1610,4,247.0,9432.5
13,1740,1,222.0,9526.0
13,1740,2,247.0,9432.5
14,1870,1,222.0,9526.0
14,1870,2,237.0,9317.0
15,2000,1,222.0,9526.0
15,2000,2,236.0,9457.0
15,2000,3,237.0,9317.0
16,2130,1,221.0,9550.0
16,2130,2,222.0,9526.0
16,2130,3,228.0,9448.5
16,2130,4,231.0,9373.5
16,2130,5,237.0,9317.0
17,2260,1,221.0,9550.0
17,2260,2,222.0,9325.5
17,2260,3,229.0,9228.5
18,2390,1,209.0,9138.0
19,2520,1,202.0,9092.5
20,2650,1,202.0,9092.5
21,2780,1,200.0,9071.0
21,2780,2,218.0,9039.5
22,2910,1,200.0,9071.0
22,2910,2,204.0,9039.5
22,2910,3,206.0,9023.5
23,3040,1,200.0,9071.0
23,3040,2,203.0,9007.0
24,3170,1,198.0,9001.5
25,3300,1,198.0,9001.5
25,3300,2,200.0,8985.0
25,3300,3,208.0,8974.5
26,3430,1,197.0,8997.5
26,3430,2,200.0,8985.0
26,3430,3,201.0,8975.0
26,3430,4,207.0,8970.0
27,3560,1,193.0,8971.0
